citation,book,chapter,verse,text
2 Timothy 1:12,2 Timothy,1,12,"""For the which cause I also suffer these things: nevertheless I am not ashamed: for I know whom I have believed, and am persuaded that he is able to keep that which I have committed unto him against that day."""
Psalms 23:4,Psalms,23,4,"""Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me."""
Acts 2:38,Acts,2,38,"""Then Peter said unto them, Repent, and be baptized every one of you in the name of Jesus Christ for the remission of sins, and ye shall receive the gift of the Holy Ghost."""
Job 12:9,Job,12,9,"""Who knoweth not in all these that the hand of the LORD hath wrought this?"""
2 Timothy 3:16-17,2 Timothy,3,16,"""All scripture is given by inspiration of God, and is profitable for doctrine, for reproof, for correction, for instruction in righteousness: That the man of God may be perfect, throughly furnished unto all good works."""
Genesis 8:22,Genesis,8,22,"""While the earth remaineth, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease."""
John 1:3,John,1,3,"""All things were made by him; and without him was not any thing made that was made."""
Proverbs 13:11,Proverbs,13,11,"""Wealth gotten by vanity shall be diminished: but he that gathereth by labour shall increase."""
Romans 12:2,Romans,12,2,"""And be not conformed to this world: but be ye transformed by the renewing of your mind, that ye may prove what is that good, and acceptable, and perfect, will of God."""
Proverbs 3:5,Proverbs,3,5,"""Trust in the LORD with all thine heart; and lean not unto thine own understanding."""
Revelation 21:4,Revelation,21,4,"""And God shall wipe away all tears from their eyes; and there shall be no more death, neither sorrow, nor crying, neither shall there be any more pain: for the former things are passed away."""
Psalms 62:1,Psalms,62,1,"""Truly my soul waiteth upon God: from him cometh my salvation. He only is my rock and my salvation; he is my defence; I shall not be greatly moved."""
2 Corinthians 12:9,2 Corinthians,12,9,"""And he said unto me, My grace is sufficient for thee: for my strength is made perfect in weakness. Most gladly therefore will I rather glory in my infirmities, that the power of Christ may rest upon me."""
Proverbs 22:6,Proverbs,22,6,"""Train up a child in the way he should go: and when he is old, he will not depart from it."""
Matthew 28:18,Matthew,28,18,"""And Jesus came and spake unto them, saying, All power is given unto me in heaven and in earth."""
